Date,DBS,Open,High,Low,Vol.,Change %
08/29/2025,50.52,50.7,50.7,50.28,3.08M,0.38%
08/28/2025,50.33,50.31,50.45,50.24,3.23M,0.32%
08/27/2025,50.17,49.7,50.22,49.7,2.17M,0.30%
08/26/2025,50.02,50,50.25,49.8,4.22M,-0.62%
08/25/2025,50.33,51,51,50.13,4.75M,-0.94%
08/22/2025,50.81,50.57,50.83,50.52,2.80M,0.42%
08/21/2025,50.6,50.3,50.65,50.07,3.71M,1.20%
08/20/2025,50,49.87,50.21,49.75,3.18M,0.28%
08/19/2025,49.86,49.55,49.98,49.37,3.58M,0.52%
08/18/2025,49.6,50.5,50.5,49.57,3.68M,-0.60%
08/15/2025,49.9,50.2,50.62,49.8,3.80M,-1.17%
08/14/2025,50.49,51,51,50.3,4.75M,-1.58%
08/13/2025,51.3,51.11,51.3,50.75,5.62M,0.96%
8/12/2025,50.81,50.63,50.82,50.2,4.33M,0.41%
8/11/2025,50.6,50.62,50.85,50.2,3.58M,0.02%
8/8/2025,50.59,49.84,50.83,49.82,7.67M,1.99%
8/7/2025,49.6,48.96,49.85,48.96,6.52M,1.55%
8/6/2025,48.85,48.28,48.87,48.08,3.28M,1.26%
8/5/2025,48.24,48,48.46,47.99,4.27M,0.73%
8/4/2025,47.89,47.56,47.99,47.32,2.98M,0.61%
8/1/2025,47.6,47.62,48.14,47.6,4.58M,-0.65%
07/31/2025,47.91,47.96,48.19,47.91,4.08M,-0.73%
07/30/2025,48.26,48.56,48.56,48.02,5.51M,-0.70%
07/29/2025,48.6,48.56,48.79,48.38,2.93M,-0.12%
07/28/2025,48.66,49.11,49.12,48.56,3.60M,-0.82%
07/25/2025,49.06,48.68,49.08,48.45,5.24M,-0.30%
07/24/2025,49.21,48.35,49.21,48.16,7.18M,2.24%
07/23/2025,48.13,47.55,48.14,47.35,5.81M,1.86%
07/22/2025,47.25,47.31,47.35,46.86,4.11M,-0.02%
07/21/2025,47.26,47.08,47.77,47.05,3.64M,0.57%
07/18/2025,46.99,46.8,47.05,46.75,4.23M,0.66%
07/17/2025,46.68,46.23,46.68,46.23,4.42M,1.21%
07/16/2025,46.12,46.02,46.17,45.96,2.01M,0.07%
07/15/2025,46.09,46.28,46.29,46.03,3.53M,-0.43%
07/14/2025,46.29,46.14,46.3,46.12,2.95M,0.65%
7/11/2025,45.99,45.5,46.36,45.49,5.07M,0.37%
7/10/2025,45.82,45.63,45.88,45.6,3.34M,0.37%
7/9/2025,45.65,45.61,45.76,45.45,3.92M,-0.17%
7/8/2025,45.73,45.74,45.88,45.37,4.71M,0.13%
7/7/2025,45.67,45.25,45.67,45.05,5.11M,1.02%
7/4/2025,45.21,45.19,45.28,45.05,2.95M,0.58%
7/3/2025,44.95,44.85,44.95,44.65,3.82M,0.22%
7/2/2025,44.85,45.08,45.17,44.73,3.40M,-0.58%
7/1/2025,45.11,44.93,45.28,44.93,3.62M,0.45%
06/30/2025,44.91,44.94,45,44.75,2.97M,0.11%
06/27/2025,44.86,44.59,44.86,44.5,4.48M,0.99%
06/26/2025,44.42,44.55,44.61,44.26,4.84M,-0.40%
06/25/2025,44.6,44.31,44.8,44.31,4.01M,0.68%
06/24/2025,44.3,43.89,44.33,43.89,4.35M,1.00%
06/23/2025,43.86,43.3,43.87,43.02,4.29M,-0.05%
06/20/2025,43.88,43.93,44.07,43.88,4.67M,-0.11%
06/19/2025,43.93,44,44.13,43.87,3.15M,-0.68%
06/18/2025,44.23,44.25,44.3,44.01,2.19M,-0.52%
06/17/2025,44.46,44.37,44.53,44.2,2.68M,0.68%
06/16/2025,44.16,44.15,44.28,43.98,4.75M,-0.65%
06/13/2025,44.45,44.2,44.45,44.1,4.73M,-0.49%
6/12/2025,44.67,44.67,45.03,44.65,3.25M,-0.45%
6/11/2025,44.87,45.06,45.12,44.64,4.68M,-0.62%
6/10/2025,45.15,45.37,45.46,45.05,3.06M,-0.75%
6/9/2025,45.49,45.08,45.55,45.05,3.73M,0.82%
6/6/2025,45.12,45.03,45.12,44.93,2.47M,0.22%
6/5/2025,45.02,45,45.02,44.71,2.92M,0.02%
6/4/2025,45.01,44.62,45.01,44.61,3.84M,0.47%
6/3/2025,44.8,44.76,44.88,44.44,4.91M,-0.13%
6/2/2025,44.86,44.9,45.09,44.55,5.62M,0.31%
05/30/2025,44.72,44.97,44.97,44.5,21.84M,-0.60%
05/29/2025,44.99,45.14,45.14,44.73,4.16M,-0.35%
05/28/2025,45.15,44.78,45.15,44.69,5.21M,1.39%
05/27/2025,44.53,44.45,44.53,44.3,2.74M,0.56%
05/26/2025,44.28,44.36,44.44,44.07,2.08M,-0.40%
05/23/2025,44.46,44.45,44.51,44.21,4.37M,0.61%
05/22/2025,44.19,44,44.2,43.76,5.18M,0.14%
05/21/2025,44.13,44.09,44.18,43.75,4.70M,-0.56%
05/20/2025,44.38,44.6,44.6,44.35,2.77M,0.18%
05/19/2025,44.3,44.5,44.75,44.3,4.77M,-0.67%
05/16/2025,44.6,44.5,44.66,44.36,4.89M,-0.78%
05/15/2025,44.95,44.8,45,44.52,8.63M,1.92%
05/14/2025,44.1,44.35,44.44,43.9,4.57M,0.05%
05/13/2025,44.08,44.2,44.59,43.97,7.00M,1.19%
5/9/2025,43.56,43.25,43.84,43.09,4.76M,1.10%
5/8/2025,43.09,43,43.72,42.93,6.11M,0.77%
5/7/2025,42.76,42.7,42.95,42.68,4.66M,-0.54%
5/6/2025,42.99,43,43.05,42.68,2.61M,0.26%
5/5/2025,42.88,43.28,43.3,42.8,3.08M,0.42%
5/2/2025,42.7,42.84,42.85,42.5,4.35M,0.59%
04/30/2025,42.45,42.55,42.7,42.19,5.32M,0.88%
04/29/2025,42.08,41.95,42.73,41.95,5.42M,-0.52%
04/28/2025,42.3,42.3,42.4,42.05,2.68M,-0.12%
04/25/2025,42.35,42.5,42.5,41.73,4.76M,0.02%
04/24/2025,42.34,43.1,43.14,42.34,5.56M,-1.26%
04/23/2025,42.88,42.27,43,42.15,8.05M,2.46%
04/22/2025,41.85,41.42,42.38,41.25,4.75M,1.04%
04/21/2025,41.42,40.98,41.7,40.98,3.32M,1.45%
04/17/2025,40.83,40.06,40.88,39.71,5.32M,1.82%
04/16/2025,40.1,40.09,40.15,39.39,4.57M,0.35%
04/15/2025,39.96,39.2,39.96,38.96,5.52M,2.96%
04/14/2025,38.81,39,39.3,38.6,6.20M,1.78%
4/11/2025,38.13,37.9,38.43,37.61,10.54M,-3.88%
4/10/2025,39.67,40.99,41.59,38.99,15.92M,6.75%
4/9/2025,37.16,37.66,37.86,36.73,14.76M,-2.21%
4/8/2025,38,39,40,37.81,21.17M,-3.26%
4/7/2025,39.28,37.1,40.35,36.3,21.60M,-9.28%
4/4/2025,43.3,44.34,44.68,43.17,18.74M,-4.88%
4/3/2025,45.52,45.01,46.02,45.01,7.34M,-1.13%
4/2/2025,46.04,45.71,46.19,45.52,6.18M,-0.15%
4/1/2025,46.11,45.62,46.19,45.48,6.25M,-0.77%
03/28/2025,46.47,46.8,46.97,46.4,2.89M,-0.24%
03/27/2025,46.58,46.46,46.65,46.21,4.33M,0.41%
03/26/2025,46.39,46.4,46.49,46.15,3.69M,0.74%
03/25/2025,46.05,45.79,46.54,45.6,5.30M,1.23%
03/24/2025,45.49,45.49,45.62,45.31,2.92M,0.40%
03/21/2025,45.31,45.1,45.51,45.01,6.67M,-0.20%
03/20/2025,45.4,45.32,45.5,45.21,3.46M,0.44%
03/19/2025,45.2,45.4,45.64,45.16,3.10M,0.38%
03/18/2025,45.03,44.6,45.2,44.54,3.80M,1.51%
03/17/2025,44.36,44.58,44.7,44.3,3.53M,0.25%
03/14/2025,44.25,44,44.39,44,3.77M,0.34%
03/13/2025,44.1,44,44.44,43.92,5.66M,-0.81%
3/12/2025,44.46,44.2,44.75,44.02,4.93M,0.52%
3/11/2025,44.23,44.81,45.04,44.04,12.61M,-3.53%
3/10/2025,45.85,45.78,46.13,45.77,4.81M,-0.28%
3/7/2025,45.98,45.47,46.24,45.46,3.87M,0.04%
3/6/2025,45.96,45.92,46.28,45.8,4.28M,0.75%
3/5/2025,45.62,45.4,45.84,45.4,4.66M,0.20%
3/4/2025,45.53,45.7,45.82,45.5,3.02M,-0.52%
3/3/2025,45.77,45.75,46.2,45.73,5.11M,-0.28%
02/28/2025,45.9,46.2,46.32,45.81,8.76M,-1.52%
02/27/2025,46.61,46.66,46.77,46.42,4.99M,-0.13%
02/26/2025,46.67,46.3,46.85,46.3,4.07M,0.26%
02/25/2025,46.55,46.2,46.73,46.2,5.45M,0.43%
02/24/2025,46.35,46.85,46.85,46.18,3.85M,-0.58%
02/21/2025,46.62,46.2,46.8,46.17,5.79M,1.17%
02/20/2025,46.08,45.9,46.09,45.77,4.82M,0.09%
02/19/2025,46.04,46,46.19,45.76,5.40M,0.52%
02/18/2025,45.8,45.01,45.91,45.01,5.01M,1.78%
02/17/2025,45,44.99,45.03,44.85,2.49M,0.36%
02/14/2025,44.84,44.88,44.96,44.8,4.15M,-0.49%
02/13/2025,45.06,45,45.1,44.88,3.91M,0.22%
2/12/2025,44.96,45.21,45.22,44.75,4.97M,0.25%
2/11/2025,44.85,45.75,45.85,44.73,7.15M,-1.17%
2/10/2025,45.38,45.6,46.5,45.31,8.53M,1.57%
2/7/2025,44.68,44.3,44.8,44.3,3.76M,0.81%
2/6/2025,44.32,44.62,44.71,44.25,3.72M,0.00%
2/5/2025,44.32,44.65,44.69,44.2,3.02M,-0.23%
2/4/2025,44.42,44.97,44.97,44.31,4.16M,0.25%
2/3/2025,44.31,44.03,44.65,43.88,4.54M,-0.67%
01/31/2025,44.61,44.65,45.08,44.38,7.69M,2.01%
01/28/2025,43.73,43.84,44.18,43.71,3.95M,0.30%
01/27/2025,43.6,43.5,43.64,43.35,3.57M,0.21%
01/24/2025,43.51,43.51,43.72,43.51,3.15M,-0.68%
01/23/2025,43.81,43.35,43.93,43.35,4.01M,1.13%
01/22/2025,43.32,43.3,43.56,43.29,5.01M,-0.48%
01/21/2025,43.53,43.4,43.65,43.12,4.50M,-0.21%
01/20/2025,43.62,43.81,43.84,43.4,3.49M,-0.52%
01/17/2025,43.85,43.63,43.87,43.55,4.30M,0.16%
01/16/2025,43.78,44,44.08,43.5,3.70M,0.64%
01/15/2025,43.5,43.65,43.83,43.37,6.38M,-0.91%
01/14/2025,43.9,43.81,43.93,43.64,3.94M,-0.39%
01/13/2025,44.07,44,44.3,43.8,4.03M,-0.14%
1/10/2025,44.13,44.56,44.8,43.95,6.28M,-1.93%
1/9/2025,45,44.76,45.09,44.75,3.62M,-0.97%
1/8/2025,45.44,44.95,45.44,44.79,6.51M,2.11%
1/7/2025,44.5,44.14,44.5,44.07,3.96M,1.25%
1/6/2025,43.95,43.86,44.1,43.66,3.08M,0.76%
1/3/2025,43.62,44.06,44.19,43.52,2.46M,-0.77%
1/2/2025,43.96,43.69,44,43.66,1.57M,0.55%
12/31/2024,43.72,43.78,43.95,43.62,1.25M,-0.30%
12/30/2024,43.85,43.55,43.85,43.48,2.35M,0.69%
12/27/2024,43.55,43.8,43.83,43.46,1.36M,0.02%
12/26/2024,43.54,43.6,43.64,43.4,645.10K,-0.14%
12/24/2024,43.6,43.4,43.63,43.22,760.40K,0.55%
12/23/2024,43.36,42.95,43.52,42.72,2.10M,1.26%
12/20/2024,42.82,43.24,43.4,42.82,5.00M,-1.34%
12/19/2024,43.4,43.18,43.72,43.02,3.77M,0.07%
12/18/2024,43.37,44.2,44.21,43.37,4.35M,-1.90%
12/17/2024,44.21,44.21,44.3,44.14,4.41M,-0.23%
12/16/2024,44.31,43.74,44.33,43.74,4.69M,1.30%
12/13/2024,43.74,43.78,43.98,43.69,2.94M,-0.14%
12/12/2024,43.8,43.41,43.82,43.24,3.91M,0.27%
12/11/2024,43.68,43.72,43.89,43.65,4.10M,-0.73%
12/10/2024,44,43.68,44.18,43.67,2.89M,0.80%
12/9/2024,43.65,43.46,43.85,43.46,2.35M,-0.07%
12/6/2024,43.68,43.99,44.24,43.6,4.14M,-1.31%
12/5/2024,44.26,44.25,44.95,44.15,6.01M,1.00%
12/4/2024,43.82,43.75,44.07,43.59,3.44M,0.71%
12/3/2024,43.51,42.84,43.73,42.77,6.72M,2.26%
12/2/2024,42.55,42.73,42.83,42.41,2.82M,0.28%
11/29/2024,42.43,41.92,42.43,41.92,3.04M,0.43%
11/28/2024,42.25,42.15,42.25,41.83,6.71M,0.96%
11/27/2024,41.85,42.01,42.18,41.77,3.68M,0.34%
11/26/2024,41.71,42.22,42.28,41.71,5.78M,-1.28%
11/25/2024,42.25,42.58,42.69,42.23,8.76M,-0.19%
11/22/2024,42.33,42.7,42.7,42.27,2.75M,-0.54%
11/21/2024,42.56,42.42,42.74,42.4,4.16M,0.83%
11/20/2024,42.21,42.78,42.78,42.21,3.03M,-0.85%
11/19/2024,42.57,42.42,42.68,42.42,4.80M,0.40%
11/18/2024,42.4,42.45,42.86,42.31,4.05M,-1.26%
11/15/2024,42.94,42.8,42.95,42.58,4.15M,-0.19%
11/14/2024,43.02,42.48,43.02,42.11,7.21M,0.56%
11/13/2024,42.78,41.7,42.83,41.7,5.36M,1.04%
11/12/2024,42.34,42.46,42.53,42.1,6.33M,-0.96%
11/11/2024,42.75,42.7,42.98,41.8,6.07M,0.83%
11/8/2024,42.4,41.98,42.4,41.73,8.13M,1.68%
11/7/2024,41.7,40.01,41.9,39.91,16.68M,6.51%
11/6/2024,39.15,38.82,39.19,38.81,4.54M,0.15%
11/5/2024,39.09,38.76,39.15,38.71,3.18M,0.08%
11/4/2024,39.06,39.2,39.25,38.98,3.79M,0.80%
11/1/2024,38.75,38.5,38.78,38.46,5.31M,0.23%
10/30/2024,38.66,39,39.16,38.5,6.54M,-1.60%
10/29/2024,39.29,39.1,39.33,39.08,4.20M,0.54%
10/28/2024,39.08,39.08,39.33,39.03,3.05M,-0.18%
10/25/2024,39.15,39.03,39.23,38.96,2.25M,-0.38%
10/24/2024,39.3,39.5,39.57,39.23,3.93M,0.31%
10/23/2024,39.18,38.93,39.29,38.91,3.36M,0.51%
10/22/2024,38.98,39.13,39.24,38.98,2.54M,-0.46%
10/21/2024,39.16,39.66,39.66,39.15,4.06M,-1.36%
10/18/2024,39.7,39.64,39.7,39.45,4.06M,0.46%
10/17/2024,39.52,39.45,39.65,39.3,6.21M,1.33%
10/16/2024,39,39.63,39.63,39,5.62M,-1.02%
10/15/2024,39.4,39.43,39.65,39.2,4.51M,0.69%
10/14/2024,39.13,38.94,39.15,38.79,2.73M,1.14%
10/11/2024,38.69,38.99,39.07,38.69,3.16M,-0.13%
10/10/2024,38.74,38.87,39.18,38.61,3.77M,-0.15%
10/9/2024,38.8,38.8,38.85,38.5,4.45M,1.17%
10/8/2024,38.35,38.55,38.72,38.01,3.81M,-0.03%
10/7/2024,38.36,38.34,38.82,38.22,3.18M,0.84%
10/4/2024,38.04,37.9,38.04,37.78,2.55M,0.53%
10/3/2024,37.84,37.9,38.15,37.82,4.00M,0.19%
10/2/2024,37.77,38,38.1,37.65,3.24M,-0.32%
10/1/2024,37.89,38.2,38.35,37.83,3.45M,-0.42%
09/30/2024,38.05,37.5,38.09,37.48,6.19M,1.20%
09/27/2024,37.6,37.93,38.01,37.43,7.58M,-1.83%
09/26/2024,38.3,38,38.6,37.95,4.66M,-0.18%
09/25/2024,38.37,38.7,38.75,38.09,5.91M,-1.18%
09/24/2024,38.83,39.5,39.55,38.83,7.75M,-1.60%
09/23/2024,39.46,39,39.7,38.95,5.10M,1.18%
09/20/2024,39,38.6,39,38.6,7.30M,1.30%
09/19/2024,38.5,38.1,38.5,38.02,6.29M,1.05%
09/18/2024,38.1,37.7,38.1,37.65,3.88M,0.26%
09/17/2024,38,38.1,38.18,37.95,5.17M,0.00%
09/16/2024,38,37.94,38,37.51,2.44M,0.16%
09/13/2024,37.94,37.85,38.05,37.82,6.03M,0.37%
9/12/2024,37.8,38,38,37.61,7.17M,1.37%
9/11/2024,37.29,37.49,37.5,37.15,5.27M,0.30%
9/10/2024,37.18,37.25,37.39,36.95,4.68M,-0.03%
9/9/2024,37.19,36.5,37.2,36.45,5.08M,1.81%
9/6/2024,36.53,36.71,36.71,36.41,2.76M,-0.33%
9/5/2024,36.65,36.67,36.8,36.31,2.68M,0.14%
9/4/2024,36.6,36.31,36.68,36.3,3.89M,-1.74%
9/3/2024,37.25,36.9,37.25,36.87,4.53M,1.22%
9/2/2024,36.8,36.44,36.89,36.4,3.99M,1.21%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
